epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,7452.9,0.46803,0.24425,0.95425,0.96032,0.93056,0.96225,0.79965,0.71275,0.35555,1.21192,2.18308e-05,2.18308e-05,2.18308e-05
91,7533.35,0.46304,0.24385,0.95242,0.9594,0.93046,0.96248,0.80098,0.70866,0.35277,1.21024,1.90302e-05,1.90302e-05,1.90302e-05
92,7614.4,0.45557,0.23976,0.94407,0.96044,0.93049,0.96162,0.80112,0.70509,0.35189,1.21069,1.6488e-05,1.6488e-05,1.6488e-05
93,7695.34,0.45556,0.23911,0.9462,0.9531,0.93693,0.96181,0.8019,0.70499,0.35033,1.20996,1.42065e-05,1.42065e-05,1.42065e-05
94,7776.7,0.4517,0.23748,0.94453,0.95429,0.93492,0.96271,0.80203,0.70499,0.35039,1.20884,1.21882e-05,1.21882e-05,1.21882e-05
95,7857.63,0.45181,0.23825,0.94462,0.95719,0.93438,0.96253,0.8022,0.70254,0.34879,1.20715,1.04349e-05,1.04349e-05,1.04349e-05
96,7938.35,0.4467,0.23437,0.94104,0.96135,0.93048,0.96259,0.80239,0.70338,0.3491,1.20949,8.94841e-06,8.94841e-06,8.94841e-06
97,8019.27,0.44177,0.23309,0.93685,0.95874,0.93192,0.96264,0.80206,0.70345,0.34975,1.20921,7.73019e-06,7.73019e-06,7.73019e-06
98,8099.59,0.44248,0.23349,0.93643,0.95999,0.93169,0.96329,0.80319,0.70017,0.34976,1.20819,6.78144e-06,6.78144e-06,6.78144e-06
99,8180.53,0.44464,0.23505,0.93938,0.95797,0.93239,0.96308,0.80278,0.70176,0.34932,1.20818,6.10308e-06,6.10308e-06,6.10308e-06
100,8261.01,0.44555,0.23537,0.93739,0.96187,0.93257,0.96345,0.80355,0.69877,0.3484,1.20653,5.6958e-06,5.6958e-06,5.6958e-06
